RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
USER	Fixed Duration Simulation	6	START	1594212402346	1594212402346
USER	Fixed Duration Simulation	9	START	1594212402419	1594212402419
USER	Fixed Duration Simulation	2	START	1594212402345	1594212402345
USER	Fixed Duration Simulation	10	START	1594212402423	1594212402423
USER	Fixed Duration Simulation	11	START	1594212402424	1594212402424
USER	Fixed Duration Simulation	1	START	1594212402345	1594212402345
USER	Fixed Duration Simulation	7	START	1594212402346	1594212402346
USER	Fixed Duration Simulation	4	START	1594212402346	1594212402346
USER	Fixed Duration Simulation	3	START	1594212402346	1594212402346
USER	Fixed Duration Simulation	5	START	1594212402346	1594212402346
USER	Fixed Duration Simulation	8	START	1594212402346	1594212402346
REQUEST	4		Get all video games	1594212402437	1594212402458	OK	 
REQUEST	8		Get all video games	1594212402481	1594212402537	OK	 
REQUEST	9		Get all video games	1594212402420	1594212402557	OK	 
REQUEST	1		Get all video games	1594212402426	1594212402561	OK	 
REQUEST	5		Get all video games	1594212402444	1594212402564	OK	 
REQUEST	2		Get all video games	1594212402423	1594212402585	OK	 
REQUEST	7		Get all video games	1594212402415	1594212402587	OK	 
REQUEST	10		Get all video games	1594212402424	1594212402588	OK	 
REQUEST	3		Get all video games	1594212402442	1594212402592	OK	 
REQUEST	6		Get all video games	1594212402416	1594212402594	OK	 
REQUEST	11		Get all video games	1594212402425	1594212402595	OK	 
USER	Fixed Duration Simulation	12	START	1594212402843	1594212402843
REQUEST	12		Get all video games	1594212402843	1594212402848	OK	 
USER	Fixed Duration Simulation	13	START	1594212403343	1594212403343
REQUEST	13		Get all video games	1594212403344	1594212403348	OK	 
USER	Fixed Duration Simulation	14	START	1594212403843	1594212403843
REQUEST	14		Get all video games	1594212403844	1594212403850	OK	 
USER	Fixed Duration Simulation	15	START	1594212404347	1594212404347
REQUEST	15		Get all video games	1594212404348	1594212404352	OK	 
USER	Fixed Duration Simulation	16	START	1594212405333	1594212405333
REQUEST	16		Get all video games	1594212405334	1594212405338	OK	 
USER	Fixed Duration Simulation	17	START	1594212405845	1594212405845
REQUEST	17		Get all video games	1594212405846	1594212405852	OK	 
USER	Fixed Duration Simulation	18	START	1594212406346	1594212406346
REQUEST	18		Get all video games	1594212406347	1594212406353	OK	 
USER	Fixed Duration Simulation	19	START	1594212406847	1594212406847
REQUEST	19		Get all video games	1594212406849	1594212406856	OK	 
USER	Fixed Duration Simulation	20	START	1594212407343	1594212407343
REQUEST	20		Get all video games	1594212407344	1594212407349	OK	 
REQUEST	4		Get Specific Game	1594212407486	1594212407490	OK	 
REQUEST	8		Get Specific Game	1594212407554	1594212407560	OK	 
REQUEST	9		Get Specific Game	1594212407575	1594212407582	OK	 
REQUEST	1		Get Specific Game	1594212407575	1594212407590	OK	 
REQUEST	5		Get Specific Game	1594212407577	1594212407592	OK	 
REQUEST	10		Get Specific Game	1594212407608	1594212407614	OK	 
REQUEST	6		Get Specific Game	1594212407609	1594212407616	OK	 
REQUEST	3		Get Specific Game	1594212407609	1594212407616	OK	 
REQUEST	2		Get Specific Game	1594212407611	1594212407621	OK	 
REQUEST	7		Get Specific Game	1594212407608	1594212407622	OK	 
REQUEST	11		Get Specific Game	1594212407625	1594212407628	OK	 
REQUEST	12		Get Specific Game	1594212407867	1594212407870	OK	 
USER	Fixed Duration Simulation	21	START	1594212408347	1594212408347
REQUEST	21		Get all video games	1594212408349	1594212408353	OK	 
REQUEST	13		Get Specific Game	1594212408368	1594212408374	OK	 
USER	Fixed Duration Simulation	22	START	1594212408844	1594212408844
REQUEST	22		Get all video games	1594212408845	1594212408850	OK	 
REQUEST	14		Get Specific Game	1594212408865	1594212408867	OK	 
USER	Fixed Duration Simulation	23	START	1594212409344	1594212409344
REQUEST	23		Get all video games	1594212409346	1594212409352	OK	 
REQUEST	15		Get Specific Game	1594212409365	1594212409369	OK	 
USER	Fixed Duration Simulation	24	START	1594212409833	1594212409833
REQUEST	24		Get all video games	1594212409834	1594212409838	OK	 
USER	Fixed Duration Simulation	25	START	1594212410337	1594212410337
REQUEST	25		Get all video games	1594212410338	1594212410342	OK	 
REQUEST	16		Get Specific Game	1594212410354	1594212410357	OK	 
REQUEST	17		Get Specific Game	1594212410863	1594212410865	OK	 
USER	Fixed Duration Simulation	26	START	1594212411334	1594212411334
REQUEST	26		Get all video games	1594212411335	1594212411340	OK	 
REQUEST	18		Get Specific Game	1594212411366	1594212411369	OK	 
USER	Fixed Duration Simulation	27	START	1594212411845	1594212411845
REQUEST	27		Get all video games	1594212411846	1594212411850	OK	 
REQUEST	19		Get Specific Game	1594212411867	1594212411870	OK	 
USER	Fixed Duration Simulation	28	START	1594212412343	1594212412343
REQUEST	28		Get all video games	1594212412343	1594212412349	OK	 
REQUEST	20		Get Specific Game	1594212412363	1594212412365	OK	 
REQUEST	4		Get all video games	1594212412474	1594212412477	OK	 
REQUEST	4		Get all video games	1594212412478	1594212412480	OK	 
REQUEST	8		Get all video games	1594212412567	1594212412571	OK	 
REQUEST	8		Get all video games	1594212412572	1594212412576	OK	 
REQUEST	9		Get all video games	1594212412587	1594212412590	OK	 
REQUEST	9		Get all video games	1594212412590	1594212412592	OK	 
REQUEST	1		Get all video games	1594212412597	1594212412601	OK	 
REQUEST	5		Get all video games	1594212412597	1594212412603	OK	 
REQUEST	1		Get all video games	1594212412602	1594212412606	OK	 
REQUEST	5		Get all video games	1594212412604	1594212412609	OK	 
REQUEST	10		Get all video games	1594212412614	1594212412619	OK	 
REQUEST	7		Get all video games	1594212412616	1594212412622	OK	 
REQUEST	10		Get all video games	1594212412620	1594212412624	OK	 
REQUEST	7		Get all video games	1594212412623	1594212412629	OK	 
REQUEST	11		Get all video games	1594212412631	1594212412634	OK	 
REQUEST	11		Get all video games	1594212412635	1594212412638	OK	 
REQUEST	6		Get all video games	1594212412634	1594212412640	OK	 
REQUEST	6		Get all video games	1594212412641	1594212412644	OK	 
REQUEST	3		Get all video games	1594212412644	1594212412648	OK	 
REQUEST	3		Get all video games	1594212412650	1594212412654	OK	 
REQUEST	2		Get all video games	1594212412657	1594212412665	OK	 
REQUEST	2		Get all video games	1594212412666	1594212412669	OK	 
USER	Fixed Duration Simulation	29	START	1594212412833	1594212412833
REQUEST	29		Get all video games	1594212412833	1594212412839	OK	 
REQUEST	12		Get all video games	1594212412873	1594212412878	OK	 
REQUEST	12		Get all video games	1594212412879	1594212412882	OK	 
USER	Fixed Duration Simulation	30	START	1594212413333	1594212413333
REQUEST	30		Get all video games	1594212413333	1594212413337	OK	 
REQUEST	21		Get Specific Game	1594212413364	1594212413369	OK	 
REQUEST	13		Get all video games	1594212413364	1594212413372	OK	 
REQUEST	13		Get all video games	1594212413373	1594212413376	OK	 
REQUEST	22		Get Specific Game	1594212413864	1594212413868	OK	 
REQUEST	14		Get all video games	1594212413874	1594212413877	OK	 
REQUEST	14		Get all video games	1594212413878	1594212413880	OK	 
USER	Fixed Duration Simulation	31	START	1594212414347	1594212414347
